timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z, mag_x, mag_y, mag_z, light, rot_x, rot_y, rot_z, azimuth, pitch, roll, sensor_change
1538850309937, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 454.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, CM3323 RGB Sensor
1538850309944, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 454.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, K330 3-axis Accelerometer
1538850309946, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, Rotation Vector Sensor
1538850309948, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, Orientation Sensor
1538850309950, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, CM3323 RGB Sensor
1538850309951, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, 0.0, 0.0, 0.0, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, YAS532 Magnetic Sensor
1538850309952, 0.4926069974899292, 0.8942343592643738, 9.821614265441895, -0.008857546374201775, -0.10323622822761536, -0.06658431142568588, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, K330 Gyroscope sensor
1538850309953, 0.49320554733276367, 0.8834604024887085, 9.729436874389648, -0.008857546374201775, -0.10323622822761536, -0.06658431142568588, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, NaN, NaN, NaN, 0.0, NaN, NaN, K330 3-axis Accelerometer
1538850309954, 0.49320554733276367, 0.8834604024887085, 9.729436874389648, -0.008857546374201775, -0.10323622822761536, -0.06658431142568588, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, 0.04519536718726158, -0.025262361392378807, -0.0032088474836200476, 0.0, -5.188411476574909, -2.8873841378908467, Rotation Vector Sensor
1538850309954, 0.49320554733276367, 0.8834604024887085, 9.729436874389648, -0.008857546374201775, -0.10323622822761536, -0.06658431142568588, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, 0.04519536718726158, -0.025262361392378807, -0.0032088474836200476, 0.0, -5.188411476574909, -2.8873841378908467, Orientation Sensor
1538850309956, 0.49320554733276367, 0.8834604024887085, 9.729436874389648, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 1.0889999866485596, 24.96299934387207, 23.461000442504883, 454.0, 0.04519536718726158, -0.025262361392378807, -0.0032088474836200476, 0.0, -5.188411476574909, -2.8873841378908467, K330 Gyroscope sensor
1538850309957, 0.49320554733276367, 0.8834604024887085, 9.729436874389648, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 2.007999897003174, 25.336999893188477, 22.650999069213867, 454.0, 0.04519536718726158, -0.025262361392378807, -0.0032088474836200476, 0.0, -5.188411476574909, -2.8873841378908467, YAS532 Magnetic Sensor
1538850309959, 0.48602294921875, 0.9385270476341248, 9.61331844329834, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 2.007999897003174, 25.336999893188477, 22.650999069213867, 454.0, 0.04519536718726158, -0.025262361392378807, -0.0032088474836200476, 0.0, -5.188411476574909, -2.8873841378908467, K330 3-axis Accelerometer
1538850309961, 0.48602294921875, 0.9385270476341248, 9.61331844329834, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 2.007999897003174, 25.336999893188477, 22.650999069213867, 454.0, 0.046714190393686295, -0.02471313439309597, 0.009031553752720356, 358.0, -5.327449368640627, -2.8898931651937687, Rotation Vector Sensor
1538850309962, 0.48602294921875, 0.9385270476341248, 9.61331844329834, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 2.007999897003174, 25.336999893188477, 22.650999069213867, 454.0, 0.046714190393686295, -0.02471313439309597, 0.009031553752720356, 358.0, -5.327449368640627, -2.8898931651937687, Orientation Sensor
1538850309965, 0.48602294921875, 0.9385270476341248, 9.61331844329834, -0.5140430927276611, -0.10323622822761536, -0.29596421122550964, 1.6339999437332153, 26.520999908447266, 21.489999771118164, 454.0, 0.046714190393686295, -0.02471313439309597, 0.009031553752720356, 358.0, -5.327449368640627, -2.8898931651937687, YAS532 Magnetic Sensor
1538850309967, 0.48602294921875, 0.9385270476341248, 9.61331844329834, 0.26908615231513977, -0.9715811610221863, 0.2788599729537964, 1.6339999437332153, 26.520999908447266, 21.489999771118164, 454.0, 0.046714190393686295, -0.02471313439309597, 0.009031553752720356, 358.0, -5.327449368640627, -2.8898931651937687, K330 Gyroscope sensor
1538850309969, 0.48482584953308105, 0.9923965930938721, 9.48462963104248, 0.26908615231513977, -0.9715811610221863, 0.2788599729537964, 1.6339999437332153, 26.520999908447266, 21.489999771118164, 454.0, 0.046714190393686295, -0.02471313439309597, 0.009031553752720356, 358.0, -5.327449368640627, -2.8898931651937687, K330 3-axis Accelerometer
