timestamp, acc_x, acc_y, acc_z, gyro_x, gyro_y, gyro_z, mag_x, mag_y, mag_z, light, rot_x, rot_y, rot_z, azimuth, pitch, roll, magnetic_azimuth, magnetic_pitch, magnetic_roll, sensor_change, wifi_rssi
96156757807850, 0.26575639843940735, 1.193509578704834, 9.696516990661621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04319300130009651, -0.054026998579502106, -0.621254026889801, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156758142100, 0.26575639843940735, 1.193509578704834, 9.696516990661621, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 292.0, 0.04319300130009651, -0.054026998579502106, -0.621254026889801, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, TMD49XX RGB Sensor, -58
96156777641141, 0.41778820753097534, 1.2892776727676392, 9.592369079589844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 292.0, 0.04319300130009651, -0.054026998579502106, -0.621254026889801, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156777641141, 0.41778820753097534, 1.2892776727676392, 9.592369079589844, 0.0, 0.0, 0.0, 33.0, -31.0, -3.5, 292.0, 0.04319300130009651, -0.054026998579502106, -0.621254026889801, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156777641141, 0.41778820753097534, 1.2892776727676392, 9.592369079589844, 0.0, 0.0, 0.0, 33.0, -31.0, -3.5, 292.0, 0.04330199956893921, -0.053755998611450195, -0.6212630271911621, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156797996183, 0.5434837937355042, 1.2952631711959839, 9.700108528137207, 0.0, 0.0, 0.0, 33.0, -31.0, -3.5, 292.0, 0.04330199956893921, -0.053755998611450195, -0.6212630271911621, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156797996183, 0.5434837937355042, 1.2952631711959839, 9.700108528137207, 0.0, 0.0, 0.0, 34.0, -31.30000114440918, -2.9000000953674316, 292.0, 0.04330199956893921, -0.053755998611450195, -0.6212630271911621, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156797996183, 0.5434837937355042, 1.2952631711959839, 9.700108528137207, 0.0, 0.0, 0.0, 34.0, -31.30000114440918, -2.9000000953674316, 292.0, 0.04339800029993057, -0.05353299900889397, -0.6212689876556396, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156818142683, 0.2968810200691223, 1.2318167686462402, 9.578003883361816, 0.0, 0.0, 0.0, 34.0, -31.30000114440918, -2.9000000953674316, 292.0, 0.04339800029993057, -0.05353299900889397, -0.6212689876556396, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156818142683, 0.2968810200691223, 1.2318167686462402, 9.578003883361816, 0.0, 0.0, 0.0, 33.400001525878906, -31.0, -2.4000000953674316, 292.0, 0.04339800029993057, -0.05353299900889397, -0.6212689876556396, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156818142683, 0.2968810200691223, 1.2318167686462402, 9.578003883361816, 0.0, 0.0, 0.0, 33.400001525878906, -31.0, -2.4000000953674316, 292.0, 0.043476998805999756, -0.053353000432252884, -0.621271014213562, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156837913516, 0.34835633635520935, 1.216254472732544, 9.635464668273926, 0.0, 0.0, 0.0, 33.400001525878906, -31.0, -2.4000000953674316, 292.0, 0.043476998805999756, -0.053353000432252884, -0.621271014213562, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156837913516, 0.34835633635520935, 1.216254472732544, 9.635464668273926, 0.0, 0.0, 0.0, 33.20000076293945, -31.30000114440918, -1.8000000715255737, 292.0, 0.043476998805999756, -0.053353000432252884, -0.621271014213562, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156837913516, 0.34835633635520935, 1.216254472732544, 9.635464668273926, 0.0, 0.0, 0.0, 33.20000076293945, -31.30000114440918, -1.8000000715255737, 292.0, 0.043554000556468964, -0.05317800119519234, -0.6212739944458008, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156858136350, 0.2645592987537384, 1.1959037780761719, 9.734824180603027, 0.0, 0.0, 0.0, 33.20000076293945, -31.30000114440918, -1.8000000715255737, 292.0, 0.043554000556468964, -0.05317800119519234, -0.6212739944458008, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156858136350, 0.2645592987537384, 1.1959037780761719, 9.734824180603027, 0.0, 0.0, 0.0, 35.29999923706055, -31.700000762939453, -4.0, 292.0, 0.043554000556468964, -0.05317800119519234, -0.6212739944458008, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156858136350, 0.2645592987537384, 1.1959037780761719, 9.734824180603027, 0.0, -0.019174760207533836, -0.012783173471689224, 35.29999923706055, -31.700000762939453, -4.0, 292.0, 0.043554000556468964, -0.05317800119519234, -0.6212739944458008, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Gyroscope Sensor, -58
96156858136350, 0.2645592987537384, 1.1959037780761719, 9.734824180603027, 0.0, -0.019174760207533836, -0.012783173471689224, 35.29999923706055, -31.700000762939453, -4.0, 292.0, 0.04362199828028679, -0.0530100017786026, -0.621275007724762, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156878349600, 0.32202014327049255, 1.1755530834197998, 9.71926212310791, 0.0, -0.019174760207533836, -0.012783173471689224, 35.29999923706055, -31.700000762939453, -4.0, 292.0, 0.04362199828028679, -0.0530100017786026, -0.621275007724762, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156878349600, 0.32202014327049255, 1.1755530834197998, 9.71926212310791, 0.0, -0.019174760207533836, -0.012783173471689224, 34.79999923706055, -32.10000228881836, -4.300000190734863, 292.0, 0.04362199828028679, -0.0530100017786026, -0.621275007724762, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156878349600, 0.32202014327049255, 1.1755530834197998, 9.71926212310791, 0.026631612330675125, -0.03515372797846794, -0.011717909015715122, 34.79999923706055, -32.10000228881836, -4.300000190734863, 292.0, 0.04362199828028679, -0.0530100017786026, -0.621275007724762, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Gyroscope Sensor, -58
96156878349600, 0.32202014327049255, 1.1755530834197998, 9.71926212310791, 0.026631612330675125, -0.03515372797846794, -0.011717909015715122, 34.79999923706055, -32.10000228881836, -4.300000190734863, 292.0, 0.043522000312805176, -0.05305099859833717, -0.621330976486206, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPL Game Rotation Vector, -58
96156897974350, 0.2537853717803955, 1.158793568611145, 9.617507934570312, 0.026631612330675125, -0.03515372797846794, -0.011717909015715122, 34.79999923706055, -32.10000228881836, -4.300000190734863, 292.0, 0.043522000312805176, -0.05305099859833717, -0.621330976486206, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Acceleration Sensor, -58
96156897974350, 0.2537853717803955, 1.158793568611145, 9.617507934570312, 0.026631612330675125, -0.03515372797846794, -0.011717909015715122, 33.60000228881836, -31.5, -3.1000001430511475, 292.0, 0.043522000312805176, -0.05305099859833717, -0.621330976486206, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, YAS537 Magnetic Sensor, -58
96156897974350, 0.2537853717803955, 1.158793568611145, 9.617507934570312, 0.015978965908288956, -0.012783173471689224, -0.007456851191818714, 33.60000228881836, -31.5, -3.1000001430511475, 292.0, 0.043522000312805176, -0.05305099859833717, -0.621330976486206, 256.0, 172.0, 178.0, 0.0, 0.0, 0.0, MPU6500 Gyroscope Sensor, -58
