timestamp, acc_x, acc_y, acc_z, sensor_change
1538797757490, 0.4255693554878235, 0.40043023228645325, 10.04188060760498, K330 3-axis Accelerometer
1538797757497, 0.456095427274704, 0.3800795078277588, 10.01075553894043, K330 3-axis Accelerometer
1538797757534, 0.5045779943466187, 0.4141969084739685, 9.971251487731934, K330 3-axis Accelerometer
1538797757534, 0.5093663930892944, 0.47644615173339844, 9.970054626464844, K330 3-axis Accelerometer
1538797757534, 0.43035775423049927, 0.4465186297893524, 9.947908401489258, K330 3-axis Accelerometer
1538797757536, 0.3627215623855591, 0.4124012291431427, 9.91977596282959, K330 3-axis Accelerometer
1538797757549, 0.3172317147254944, 0.365115761756897, 9.874286651611328, K330 3-axis Accelerometer
1538797757562, 0.2950853705406189, 0.36810851097106934, 9.914987564086914, K330 3-axis Accelerometer
1538797757566, 0.2890998423099518, 0.3770867586135864, 9.999382972717285, K330 3-axis Accelerometer
1538797757576, 0.37229835987091064, 0.36750996112823486, 10.124480247497559, K330 3-axis Accelerometer
1538797757586, 0.4141969084739685, 0.40521863102912903, 10.163386344909668, K330 3-axis Accelerometer
1538797757596, 0.47465047240257263, 0.43514615297317505, 10.06701946258545, K330 3-axis Accelerometer
1538797757608, 0.4495113790035248, 0.4273650050163269, 10.030508041381836, K330 3-axis Accelerometer
1538797757617, 0.46627077460289, 0.414795458316803, 10.023923873901367, K330 3-axis Accelerometer
1538797757628, 0.4668693244457245, 0.43933600187301636, 9.9371337890625, K330 3-axis Accelerometer
1538797757637, 0.4315548539161682, 0.4878185987472534, 9.821015357971191, K330 3-axis Accelerometer
1538797757647, 0.45489832758903503, 0.5374982953071594, 9.839570045471191, K330 3-axis Accelerometer
1538797757663, 0.4357447028160095, 0.5339069962501526, 9.893440246582031, K330 3-axis Accelerometer
1538797757667, 0.48482584953308105, 0.5069721937179565, 9.943717956542969, K330 3-axis Accelerometer
1538797757680, 0.5225345492362976, 0.5123591423034668, 9.946710586547852, K330 3-axis Accelerometer
1538797757701, 0.5901707410812378, 0.5434837937355042, 9.941922187805176, K330 3-axis Accelerometer
1538797757701, 0.5620388388633728, 0.5841852426528931, 9.920374870300293, K330 3-axis Accelerometer
1538797757714, 0.5518634915351868, 0.558447539806366, 9.911396026611328, K330 3-axis Accelerometer
1538797757717, 0.524330198764801, 0.518943190574646, 9.914389610290527, K330 3-axis Accelerometer
1538797757730, 0.49140989780426025, 0.48722004890441895, 9.942521095275879, K330 3-axis Accelerometer
1538797757746, 0.4572925269603729, 0.45190557837486267, 9.98681354522705, K330 3-axis Accelerometer
1538797757747, 0.4315548539161682, 0.39564183354377747, 10.085575103759766, K330 3-axis Accelerometer
1538797757764, 0.4010287821292877, 0.37828385829925537, 10.081384658813477, K330 3-axis Accelerometer
1538797757767, 0.34177228808403015, 0.34835633635520935, 10.047266960144043, K330 3-axis Accelerometer
1538797757780, 0.34356793761253357, 0.35913026332855225, 10.014347076416016, K330 3-axis Accelerometer
1538797757798, 0.4040215313434601, 0.3824737071990967, 10.006566047668457, K330 3-axis Accelerometer
1538797757798, 0.4381389021873474, 0.4537012279033661, 10.001178741455078, K330 3-axis Accelerometer
1538797757813, 0.46327802538871765, 0.4668693244457245, 9.946112632751465, K330 3-axis Accelerometer
1538797757817, 0.41539400815963745, 0.4800374507904053, 9.926360130310059, K330 3-axis Accelerometer
1538797757830, 0.38905778527259827, 0.4920084476470947, 9.896432876586914, K330 3-axis Accelerometer
1538797757846, 0.40222588181495667, 0.4339490532875061, 10.026318550109863, K330 3-axis Accelerometer
1538797757847, 0.41778820753097534, 0.41359832882881165, 10.19032096862793, K330 3-axis Accelerometer
1538797757863, 0.45190557837486267, 0.4058171808719635, 10.226832389831543, K330 3-axis Accelerometer
1538797757867, 0.4692635238170624, 0.424970805644989, 10.196905136108398, K330 3-axis Accelerometer
1538797757898, 0.46327802538871765, 0.43694180250167847, 10.147225379943848, K330 3-axis Accelerometer
1538797757899, 0.4159925580024719, 0.4602852761745453, 10.111311912536621, K330 3-axis Accelerometer
1538797757899, 0.40462008118629456, 0.436343252658844, 10.062829971313477, K330 3-axis Accelerometer
1538797757914, 0.41958385705947876, 0.4345476031303406, 9.996989250183105, K330 3-axis Accelerometer
1538797757920, 0.45489832758903503, 0.4710591733455658, 9.980828285217285, K330 3-axis Accelerometer
1538797757927, 0.4950011968612671, 0.4926069974899292, 10.068815231323242, K330 3-axis Accelerometer
1538797757941, 0.5554547905921936, 0.50876784324646, 10.185532569885254, K330 3-axis Accelerometer
1538797757947, 0.6057330369949341, 0.5039794445037842, 10.216058731079102, K330 3-axis Accelerometer
1538797757958, 0.5626373887062073, 0.5231330990791321, 10.13405704498291, K330 3-axis Accelerometer
1538797757969, 0.49140989780426025, 0.5099649429321289, 9.979032516479492, K330 3-axis Accelerometer
1538797757979, 0.4100070297718048, 0.48722004890441895, 9.84256362915039, K330 3-axis Accelerometer
1538797757991, 0.383670836687088, 0.4644751250743866, 9.80904483795166, K330 3-axis Accelerometer
1538797757997, 0.4471171796321869, 0.5051765441894531, 9.821614265441895, K330 3-axis Accelerometer
1538797758008, 0.4578910768032074, 0.507570743560791, 9.835979461669922, K330 3-axis Accelerometer
1538797758017, 0.46627077460289, 0.4800374507904053, 9.882665634155273, K330 3-axis Accelerometer
1538797758027, 0.4531026780605316, 0.46567222476005554, 9.97364616394043, K330 3-axis Accelerometer
1538797758043, 0.4405331015586853, 0.43335050344467163, 9.970054626464844, K330 3-axis Accelerometer
