timestamp, acc_x, acc_y, acc_z, sensor_change
1538715675413, 0.9642647504806519, 0.8864531517028809, 9.9185791015625, K330 3-axis Accelerometer
1538715675431, 0.8415619134902954, 0.7230489253997803, 10.043676376342773, K330 3-axis Accelerometer
1538715675442, 0.7146692276000977, 0.6482301354408264, 9.894038200378418, K330 3-axis Accelerometer
1538715675467, 0.44173020124435425, 0.5009866952896118, 10.003573417663574, K330 3-axis Accelerometer
1538715675483, 0.42197805643081665, 0.4489128291606903, 10.265738487243652, K330 3-axis Accelerometer
1538715675507, 0.3016694188117981, 0.43514615297317505, 10.262146949768066, K330 3-axis Accelerometer
1538715675526, 0.2783259451389313, 0.5518634915351868, 10.00836181640625, K330 3-axis Accelerometer
1538715675544, 0.30286651849746704, 0.5452794432640076, 10.002974510192871, K330 3-axis Accelerometer
1538715675577, 0.3663128614425659, 0.5315127968788147, 10.145429611206055, K330 3-axis Accelerometer
1538715675592, 0.35075053572654724, 0.4752490520477295, 10.16877269744873, K330 3-axis Accelerometer
1538715675608, 0.30885201692581177, 0.5159504413604736, 10.033500671386719, K330 3-axis Accelerometer
1538715675628, 0.5416881442070007, 0.7146692276000977, 9.924564361572266, K330 3-axis Accelerometer
1538715675644, 0.5542576909065247, 0.7356184720993042, 9.88625717163086, K330 3-axis Accelerometer
1538715675663, 0.40940847992897034, 0.629675030708313, 9.767146110534668, K330 3-axis Accelerometer
1538715675693, 0.42377370595932007, 0.6266822814941406, 9.751583099365234, K330 3-axis Accelerometer
1538715675711, 0.4818331003189087, 0.5973533391952515, 9.752182006835938, K330 3-axis Accelerometer
1538715675728, 0.46088382601737976, 0.6129156351089478, 9.73661994934082, K330 3-axis Accelerometer
1538715675745, 0.45669397711753845, 0.6500257849693298, 9.81024169921875, K330 3-axis Accelerometer
1538715675776, 0.5949591398239136, 0.7032967209815979, 9.982624053955078, K330 3-axis Accelerometer
1538715675792, 0.6428431272506714, 0.706289529800415, 10.114903450012207, K330 3-axis Accelerometer
1538715675811, 0.5781996846199036, 0.6542156338691711, 10.127472877502441, K330 3-axis Accelerometer
1538715675828, 0.7924807667732239, 0.7703344225883484, 10.125079154968262, K330 3-axis Accelerometer
1538715675845, 0.8092401623725891, 0.7906851172447205, 9.944915771484375, K330 3-axis Accelerometer
1538715675863, 0.6991068720817566, 0.812831461429596, 9.803657531738281, K330 3-axis Accelerometer
1538715675897, 0.7829039692878723, 0.8583213090896606, 9.940725326538086, K330 3-axis Accelerometer
1538715675915, 0.7745242714881897, 0.9576807022094727, 9.929352760314941, K330 3-axis Accelerometer
1538715675923, 0.5997475385665894, 0.8619126081466675, 9.882067680358887, K330 3-axis Accelerometer
1538715675949, 0.45250412821769714, 0.6865373253822327, 10.173561096191406, K330 3-axis Accelerometer
1538715675978, 0.6721721291542053, 0.7116764783859253, 10.434529304504395, K330 3-axis Accelerometer
1538715675983, 0.6506243348121643, 0.702099621295929, 10.3549222946167, K330 3-axis Accelerometer
1538715676004, 0.4141969084739685, 0.5476736426353455, 10.22503662109375, K330 3-axis Accelerometer
1538715676025, 0.45429977774620056, 0.5530605912208557, 10.233416557312012, K330 3-axis Accelerometer
1538715676045, 0.7212532758712769, 0.7841010689735413, 9.972448348999023, K330 3-axis Accelerometer
1538715676063, 0.8343793153762817, 0.8158242106437683, 9.657610893249512, K330 3-axis Accelerometer
1538715676084, 0.6877344250679016, 0.7320271730422974, 9.679757118225098, K330 3-axis Accelerometer
1538715676103, 0.5398924946784973, 0.5991489887237549, 9.728838920593262, K330 3-axis Accelerometer
1538715676126, 0.5363011956214905, 0.6039373874664307, 9.567230224609375, K330 3-axis Accelerometer
1538715676143, 0.6554127335548401, 0.7092822790145874, 9.589376449584961, K330 3-axis Accelerometer
1538715676169, 0.9193734526634216, 0.8720879554748535, 9.692925453186035, K330 3-axis Accelerometer
1538715676186, 0.9576807022094727, 0.8595184087753296, 9.825204849243164, K330 3-axis Accelerometer
1538715676204, 0.7781155705451965, 0.8176198601722717, 9.765948295593262, K330 3-axis Accelerometer
1538715676226, 0.7978677153587341, 0.8990227580070496, 9.86650562286377, K330 3-axis Accelerometer
1538715676247, 0.8487445116043091, 0.8960300087928772, 10.0580415725708, K330 3-axis Accelerometer
1538715676266, 0.7595604658126831, 0.8978256583213806, 10.05923843383789, K330 3-axis Accelerometer
1538715676286, 0.5656301379203796, 0.9852139949798584, 9.936535835266113, K330 3-axis Accelerometer
1538715676309, 0.48303020000457764, 1.1366472244262695, 9.709685325622559, K330 3-axis Accelerometer
1538715676326, 0.3824737071990967, 1.1647791862487793, 9.632472038269043, K330 3-axis Accelerometer
1538715676346, 0.23104046285152435, 1.0468647480010986, 10.061034202575684, K330 3-axis Accelerometer
1538715676366, 0.07900865375995636, 0.8619126081466675, 10.301053047180176, K330 3-axis Accelerometer
1538715676388, -0.0975637212395668, 0.7559691667556763, 10.248978614807129, K330 3-axis Accelerometer
1538715676405, -0.2364274114370346, 0.7056909799575806, 10.168174743652344, K330 3-axis Accelerometer
1538715676426, -0.2172738015651703, 0.8577227592468262, 9.956886291503906, K330 3-axis Accelerometer
1538715676447, -0.44532153010368347, 1.115697979927063, 9.399636268615723, K330 3-axis Accelerometer
1538715676466, -0.6739677786827087, 1.5077484846115112, 8.723274230957031, K330 3-axis Accelerometer
1538715676490, -0.702099621295929, 1.8387469053268433, 8.89565658569336, K330 3-axis Accelerometer
1538715676506, -0.4752490520477295, 1.8632874488830566, 9.926959037780762, K330 3-axis Accelerometer
